gene_reaction_rule_source	gene_reaction_rule_sink
locustag:STM1473	locustag:STM1570
locustag:STM1473	locustag:STM1569
locustag:STM1473	locustag:STM1568
locustag:STM2267	locustag:STM4035
locustag:STM2267	locustag:STM4036
locustag:STM2267	locustag:STM4037
locustag:STM2267	locustag:STM1570
locustag:STM2267	locustag:STM1569
locustag:STM2267	locustag:STM1568
locustag:STM0320	locustag:STM0974
locustag:STM0999	locustag:STM0974
locustag:STM1473	locustag:STM0974
locustag:STM2267	locustag:STM0974
locustag:STM0320	locustag:STM2204
locustag:STM0320	locustag:STM2206
locustag:STM0999	locustag:STM2204
locustag:STM0999	locustag:STM2206
locustag:STM1473	locustag:STM2204
locustag:STM1473	locustag:STM2206
locustag:STM2267	locustag:STM2204
locustag:STM2267	locustag:STM2206
locustag:STM1886	locustag:STM0785
locustag:STM1468	locustag:STM1566
locustag:STM4300	locustag:STM1566
locustag:STM1469	locustag:STM1566
locustag:STM0761	locustag:STM1566
locustag:STM0762	locustag:STM1566
locustag:STM1468	locustag:STM2472
locustag:STM4300	locustag:STM2472
locustag:STM1469	locustag:STM2472
locustag:STM0761	locustag:STM2472
locustag:STM0762	locustag:STM2472
locustag:STM0320	locustag:STM0627
locustag:STM0999	locustag:STM0627
locustag:STM1473	locustag:STM0627
locustag:STM2267	locustag:STM0627
locustag:STM0320	locustag:STM0773
locustag:STM0999	locustag:STM0773
locustag:STM1473	locustag:STM0773
locustag:STM2267	locustag:STM0773
locustag:STM0320	locustag:STM3827
locustag:STM0999	locustag:STM3827
locustag:STM1473	locustag:STM3827
locustag:STM2267	locustag:STM3827
locustag:STM2962	locustag:STM3250
locustag:STM2962	locustag:STM3697
locustag:STM2500	locustag:STM2565
locustag:STM0320	locustag:STM3258
locustag:STM0320	locustag:STM3259
locustag:STM0320	locustag:STM3260
locustag:STM0999	locustag:STM3258
locustag:STM0999	locustag:STM3259
locustag:STM0999	locustag:STM3260
locustag:STM1473	locustag:STM3258
locustag:STM1473	locustag:STM3259
locustag:STM1473	locustag:STM3260
locustag:STM2267	locustag:STM3258
locustag:STM2267	locustag:STM3259
locustag:STM2267	locustag:STM3260
locustag:STM0320	locustag:STM2189
locustag:STM0320	locustag:STM2190
locustag:STM0320	locustag:STM2188
locustag:STM0999	locustag:STM2189
locustag:STM0999	locustag:STM2190
locustag:STM0999	locustag:STM2188
locustag:STM1473	locustag:STM2189
locustag:STM1473	locustag:STM2190
locustag:STM1473	locustag:STM2188
locustag:STM2267	locustag:STM2189
locustag:STM2267	locustag:STM2190
locustag:STM2267	locustag:STM2188
locustag:STM0320	locustag:STM3091
locustag:STM0999	locustag:STM3091
